Attributes	open	open	open	open	open	open	open	open	open	open	high	high	high	high	high	high	high	high	high	high	low	low	low	low	low	low	low	low	low	low	close	close	close	close	close	close	close	close	close	close	volume	volume	volume	volume	volume	volume	volume	volume	volume	volume
Symbols	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD	MMM	AOS	ABT	ABBV	ACN	ATVI	AYI	ADBE	AAP	AMD
date																																																		
2018-11-19	207.83	45.84	72.0	91.29	164.5	50.81	125.74	237.5	179.15	20.4	208.05	46.4	72.41	92.34	165.94	50.87	127.16	238.65	182.49	20.59	204.37	45.55	70.28	89.11	162.11	48.89	123.34	218.72	176.9	19.09	205.58	45.64	70.54	89.48	162.77	49.14	123.78	219.69	177.75	19.11	3220380	1024384	7224362	5971688	2194401	13062917	340953	7641894	856734	93578236
2018-11-20	203.58	45.04	70.39	89.0	160.2	47.77	122.53	209.41	174.05	17.4	204.14	46.23	70.75	89.71	160.97	49.91	124.24	222.84	177.67	19.58	200.19	44.87	68.86	87.86	157.74	46.83	120.42	207.02	171.12	17.18	200.51	45.43	69.06	88.09	158.9	49.26	121.12	219.73	171.53	19.21	2677269	1798364	8222508	5372976	2224934	13801775	351896	6180467	891924	109869425
2018-11-21	199.68	45.74	69.35	88.5	160.0	50.04	121.25	225.33	171.5	20.05	201.18	46.47	69.72	88.78	160.0	51.21	125.35	228.99	176.09	20.31	198.66	45.64	68.25	85.37	156.74	49.86	120.65	222.24	171.41	18.5	198.69	45.73	68.53	86.15	156.98	50.85	123.84	225.98	174.67	18.73	1832769	932044	5789448	6532632	2525622	10184713	203506	4846563	893661	81585649
2018-11-23	197.76	45.51	67.94	85.6	155.85	50.46	122.48	222.71	173.7	18.61	198.68	46.06	68.68	86.55	157.87	51.0	124.41	227.74	178.53	19.83	196.79	45.42	67.83	84.9	155.25	49.72	122.31	222.51	173.66	18.56	196.8	45.64	68.11	85.63	156.93	50.05	122.66	225.56	177.24	19.38	999927	683152	3262242	1612814	938816	5128332	75043	1691015	325724	54611295
2018-11-26	198.57	46.0	68.73	86.39	158.54	50.69	124.06	229.19	178.91	19.96	201.83	46.46	69.27	87.25	159.48	51.02	127.16	233.3	180.77	20.19	197.32	45.82	68.45	85.21	157.38	49.99	123.92	227.91	176.92	19.11	199.86	46.43	68.81	86.24	158.4	50.91	126.82	231.96	177.72	20.08	2321035	1626105	6129379	5227881	2127521	9295599	327947	3603692	658824	83210988
2018-11-27	199.12	47.3	68.71	86.22	158.04	50.61	126.86	230.77	176.65	19.77	201.32	47.48	69.75	87.7	159.38	50.82	130.12	232.78	181.42	21.45	196.78	45.85	68.38	85.5	157.51	49.8	125.67	228.68	176.6	19.73	200.69	46.11	69.71	87.68	159.11	50.75	126.63	232.25	179.27	21.05	2079649	1338056	6758957	4338274	1929975	7795113	525295	2882445	701681	119230147
2018-11-28	201.99	46.3	70.1	88.04	160.01	51.1	127.43	237.9	178.85	21.82	204.35	47.22	72.84	88.96	162.36	51.21	128.78	250.41	180.79	21.88	199.42	45.45	70.1	86.56	159.29	49.98	124.65	237.74	177.95	20.18	204.34	47.22	72.83	88.94	162.21	51.02	128.58	249.21	178.95	21.34	2184438	1500929	7915871	3953645	2783964	8479540	289447	6447110	1086622	134425292
2018-11-29	203.87	46.98	72.43	89.01	162.21	50.64	127.83	246.36	177.91	21.19	205.84	47.18	73.7	90.33	162.46	52.91	130.88	252.25	179.18	21.61	202.66	46.29	72.37	88.36	160.81	50.6	127.06	244.31	177.34	20.73	204.56	46.84	73.26	89.91	161.07	52.56	129.06	249.09	177.67	21.43	1569231	1000078	6447652	3837960	2414584	9367158	269848	3723510	747842	79853746
2018-11-30	204.36	46.83	73.93	90.26	161.77	52.53	128.37	250.23	177.78	21.3	207.92	47.59	74.23	94.27	164.54	52.55	130.43	251.57	178.91	21.36	203.98	46.5	73.07	89.87	160.98	49.26	126.9	247.09	175.01	20.52	207.92	47.38	74.05	94.27	164.52	49.88	130.02	250.89	177.71	21.3	3171873	1808807	8030518	12031741	5832783	14511862	417838	5156668	1399630	82370737
2018-12-03	211.21	48.38	74.29	94.32	165.97	51.0	132.2	260.71	178.97	22.48	211.95	49.29	74.92	94.72	167.07	51.44	133.7	260.72	179.79	23.75	207.05	47.31	73.56	92.82	164.68	46.45	128.26	251.82	174.85	22.37	208.76	48.04	74.27	93.66	166.82	46.6	128.91	255.26	177.89	23.71	2493454	1993205	6428885	6673817	2319777	30816390	376618	4285915	895225	139605406
2018-12-04	208.06	47.68	74.24	93.92	166.46	46.66	129.2	253.22	180.12	23.35	208.55	47.97	74.25	94.98	168.37	48.4	129.97	254.71	181.73	23.42	202.09	45.05	71.43	90.4	164.09	46.34	119.79	244.98	175.62	21.07	202.2	45.17	71.5	90.55	164.21	46.52	120.0	245.82	178.19	21.12	2698694	1492917	7620066	7008395	3108890	22495670	492549	4041714	1549519	127392924
2018-12-06	199.61	44.47	70.59	89.7	160.71	46.25	118.21	240.0	176.31	20.22	203.08	44.63	71.54	90.48	161.74	48.31	120.68	250.68	177.0	21.41	198.19	43.26	69.92	87.17	156.64	45.5	114.26	237.96	170.75	20.06	202.68	44.6	71.54	90.33	159.25	48.15	120.44	250.63	175.76	21.3	2991766	2334528	10269126	8734309	6012221	18516888	888435	3950611	1226619	103434674
2018-12-07	202.62	44.6	71.75	89.93	158.88	47.87	120.2	248.39	174.62	21.3	204.37	45.33	71.83	90.0	160.78	48.77	123.72	249.26	177.26	21.38	197.01	43.84	69.19	86.37	156.24	47.2	117.0	237.65	167.38	19.17	198.24	43.91	69.95	86.96	157.45	47.23	117.9	238.0	167.59	19.46	2254486	1221001	7945533	6737665	3090006	18277425	395536	3971074	761799	105764534
2018-12-10	198.36	43.8	70.04	86.67	157.02	47.23	117.77	237.46	167.81	19.35	198.95	44.04	71.3	87.88	158.65	48.37	119.03	245.4	167.82	20.13	193.64	42.22	68.79	84.6	154.41	46.67	115.05	237.01	163.41	19.27	198.32	42.97	70.92	87.61	157.72	47.88	116.34	244.09	166.17	19.99	1980356	1729744	5828575	5229396	2280826	10970403	516420	3194293	1471151	77984520
2018-12-11	201.26	43.67	71.66	88.62	160.0	48.57	118.65	251.43	167.68	20.71	202.0	43.96	72.54	89.44	160.83	48.86	120.51	251.75	168.89	21.14	196.14	42.53	71.3	86.66	157.41	47.72	114.81	242.78	165.01	19.69	197.46	42.66	71.84	88.17	158.3	48.2	115.71	245.34	165.8	19.98	1828852	1205175	7567025	5098100	1786296	12474126	493032	3179388	861154	88027392
2018-12-12	200.6	43.34	72.81	89.32	160.26	49.05	117.65	249.99	166.95	20.32	202.62	43.52	73.86	90.17	161.21	50.22	119.84	251.56	168.86	21.02	199.7	42.54	72.49	88.36	158.53	48.42	116.0	245.04	166.12	19.71	199.81	42.57	72.53	88.6	158.62	48.45	116.57	245.55	166.98	20.48	1918966	1134917	6883761	4185087	2423360	11453591	469737	4067868	1461079	100340657
2018-12-13	201.43	42.85	72.71	89.37	159.79	48.75	117.08	248.15	166.82	20.63	202.4	43.05	73.14	89.99	161.09	49.26	118.5	251.6	167.98	20.87	199.52	41.99	71.58	87.37	159.22	47.72	115.91	245.2	165.13	19.76	202.13	42.24	72.18	87.71	160.25	48.51	116.75	248.08	166.29	19.86	1831731	1068624	6264895	4078628	2227080	7755190	458343	5395115	1008157	88108070
2018-12-14	200.12	41.71	71.32	86.8	158.33	47.47	115.29	240.76	165.3	19.58	201.57	42.46	71.5	87.16	158.64	48.45	119.58	240.92	168.38	20.7	195.85	41.22	70.37	85.08	155.12	46.97	115.29	229.91	163.4	19.52	196.1	41.41	70.76	85.61	155.53	47.75	118.35	230.0	163.78	19.9	2473515	1427508	5670292	5461637	2336127	7161356	410870	12189411	968569	84713551
2018-12-17	195.84	41.34	70.38	85.07	154.73	47.6	118.24	226.93	162.61	20.01	198.25	42.66	70.86	86.88	154.98	48.42	119.5	230.63	162.73	20.02	191.85	41.01	69.16	84.2	150.88	46.64	115.05	220.48	158.13	18.64	192.82	42.38	69.75	84.93	151.67	47.08	115.77	221.38	158.84	18.83	2547591	3106741	7257458	5958247	2755024	10064952	639490	7059515	1223775	115437927
2018-12-18	193.39	42.7	70.85	85.46	153.33	47.75	116.92	222.53	160.0	19.15	196.92	43.52	70.9	85.5	154.03	47.85	118.54	228.13	162.89	19.84	193.15	42.61	69.31	82.8	151.15	46.78	116.07	221.55	157.83	18.88	194.56	43.03	70.08	83.58	152.14	47.32	116.95	226.18	158.24	19.5	2636317	2899555	8392377	5288570	2692631	8776092	599294	5264971	1312471	101512938
2018-12-19	196.0	43.1	70.34	84.33	152.29	47.33	116.99	225.92	158.71	19.44	198.23	44.52	71.47	86.3	156.21	48.12	118.59	231.02	160.49	19.72	189.7	42.52	68.19	82.65	149.58	45.86	109.02	221.11	155.43	18.0	189.96	42.71	69.0	83.52	150.96	46.33	110.89	224.65	156.12	18.16	3266548	2349437	7339730	5510788	3261060	8363273	631271	6110844	1174266	120644490
2018-12-20	189.11	42.39	68.34	82.99	146.0	46.18	110.89	223.0	155.28	18.11	191.12	43.55	68.9	86.48	147.2	47.73	113.86	224.85	156.15	18.86	185.5	42.31	66.99	82.41	139.49	45.93	107.65	212.83	150.65	17.34	187.38	42.87	68.38	85.37	143.5	47.05	109.15	218.65	152.5	17.94	3609477	3142105	11689737	9453309	6409219	9849358	504595	6099382	1804947	119394487
2018-12-21	187.86	43.12	68.07	84.63	141.02	47.62	108.99	219.55	151.57	18.12	190.5	43.59	69.13	88.71	144.85	47.96	109.84	222.26	155.89	18.34	183.64	41.82	67.02	83.22	136.93	44.96	105.65	207.37	150.34	16.76	183.75	41.99	67.27	84.92	137.2	45.85	106.44	208.8	151.41	16.93	6699190	4223539	14240784	16044702	6236911	19308946	842232	8828085	1872870	132245996
2018-12-24	181.89	41.77	66.82	84.85	136.58	45.35	106.32	206.9	151.03	16.52	183.54	42.77	67.05	86.44	136.92	46.29	106.95	212.58	152.0	17.22	178.51	41.6	65.44	83.6	133.6	43.92	103.48	204.95	148.37	16.37	178.62	42.01	65.56	84.16	133.67	43.99	105.8	205.16	148.92	16.65	2249502	991189	4026161	5097852	2305355	6869860	190040	2940454	649122	62933126
2018-12-26	179.38	42.06	65.9	84.74	134.8	44.43	105.91	206.53	149.72	16.88	186.33	43.18	69.64	89.09	139.02	46.45	110.79	222.96	155.13	17.91	176.87	41.15	65.9	84.62	132.63	43.71	104.33	206.25	149.03	16.03	186.26	43.17	69.62	89.04	139.01	46.42	110.74	222.95	155.03	17.9	2925561	1260654	7576482	6225197	2488592	12028844	313230	5897853	962615	108811809
2018-12-27	183.5	42.52	68.41	87.95	137.11	45.71	109.08	219.99	153.44	17.43	190.7	43.14	70.63	89.93	140.41	47.06	113.38	225.17	154.77	17.74	182.88	41.84	67.79	86.86	134.69	45.21	108.74	214.16	149.58	16.44	190.7	42.9	70.63	89.91	140.41	47.04	113.31	225.14	154.69	17.49	2809032	2358905	6713047	7272750	2684148	7529434	286486	3931134	1123432	111373008
2018-12-28	191.81	43.11	71.05	90.09	141.01	47.32	113.25	227.58	155.34	17.53	192.3	43.71	72.05	92.82	141.8	47.59	115.98	228.11	157.3	18.31	188.57	42.48	70.3	90.0	138.81	46.1	112.56	220.87	153.64	17.14	189.37	42.7	71.09	91.12	139.82	46.8	114.09	223.13	155.46	17.82	2311390	1934621	6209595	6037743	2015596	5783802	528855	3160241	1009498	109214352
2018-12-31	190.34	42.82	71.57	91.6	140.4	47.04	114.46	225.56	156.05	18.15	191.65	43.34	72.76	92.99	141.29	47.32	114.95	227.33	157.68	18.51	188.5	42.37	71.48	91.23	139.39	46.01	112.2	223.24	154.99	17.85	190.54	42.7	72.33	92.19	141.01	46.57	114.95	226.24	157.46	18.46	1804618	2769474	6094307	5722155	1826426	7789604	246383	2866443	752467	84732181
2019-01-02	187.82	42.21	70.39	91.24	138.93	45.25	113.11	219.91	156.16	18.01	190.99	43.49	70.96	91.26	141.19	47.51	116.18	226.17	159.92	19.0	186.7	41.61	69.07	88.42	138.28	45.14	111.71	219.0	153.82	17.98	190.95	43.47	69.5	89.23	140.59	47.03	115.23	224.57	157.92	18.83	2475193	1998458	8737216	6908424	2059602	7245714	465800	2784109	1290990	87148693
2019-01-03	188.28	43.1	68.74	88.64	139.13	46.44	114.2	220.88	158.23	18.42	188.28	43.14	68.88	88.8	139.57	46.65	114.29	223.63	164.07	18.68	182.89	42.13	65.5	86.08	135.58	45.0	110.04	215.15	157.74	16.94	183.76	42.42	66.22	86.29	135.79	45.36	111.45	215.7	162.85	17.05	3358241	1700020	10571047	7653204	2801252	8266386	306873	3663514	1514733	117277563
2019-01-04	186.75	43.09	67.12	87.75	138.12	46.0	112.92	219.84	164.17	17.55	191.98	44.2	68.58	89.14	141.34	47.55	117.32	227.65	164.5	19.07	186.03	42.88	66.99	86.27	137.5	45.13	112.73	217.48	158.48	17.43	191.32	44.12	68.11	89.07	141.07	47.17	116.67	226.19	158.81	19.0	2995052	2864421	8299184	8910646	2296417	9081988	261048	4043376	1423037	111878582
